date,CH4
1988-01-17,1701.2325
1988-01-24,1699.6075
1988-01-31,1697.1925
1988-02-07,1697.26
1988-02-14,1703.855
1988-02-21,1704.4975
1988-02-28,1703.13
1988-03-06,1700.96
1988-03-13,1705.3
1988-03-20,1708.035
1988-03-27,1708.035
1988-04-03,1706.6675
1988-04-10,1706.6675
1988-04-17,1705.3200000000002
1988-04-24,1705.3200000000002
1988-05-01,1703.4724999999999
1988-05-08,1703.4724999999999
1988-05-15,1701.8025
1988-05-22,1702.605
1988-05-29,1701.0
1988-06-05,1701.0
1988-06-12,1692.46
1988-06-19,1690.48
1988-06-26,1689.99
1988-07-03,1689.99
1988-07-10,1688.195
1988-07-17,1688.195
1988-07-24,1685.3166666666666
1988-07-31,1685.3166666666666
1988-08-07,1685.3166666666666
1988-08-14,1684.8
1988-08-21,1685.3166666666666
1988-08-28,1694.59
1988-09-04,1699.19
1988-09-11,1699.19
1988-09-18,1701.77
1988-09-25,1701.77
1988-10-02,1701.77
1988-10-09,1701.77
1988-10-16,1701.77
1988-10-23,1703.98
1988-10-30,1712.9050000000002
1988-11-06,1712.9050000000002
1988-11-13,1720.195
1988-11-20,1721.9341666666667
1988-11-27,1721.9341666666667
1988-12-04,1721.9341666666667
1988-12-11,1719.3941666666667
1988-12-18,1272.8274999999999
1988-12-25,1716.73
1989-01-01,1716.73
1989-01-08,1715.115
1989-01-15,1712.71
1989-01-22,1710.17
1989-01-29,1712.71
1989-02-05,1718.345
1989-02-12,1712.71
1989-02-19,1710.17
1989-02-26,1710.17
1989-03-05,1713.31
1989-03-12,1716.73
1989-03-19,1713.31
1989-03-26,1713.31
1989-04-02,1716.73
1989-04-09,1725.325
1989-04-16,1725.325
1989-04-23,1726.5366666666669
1989-04-30,1725.325
1989-05-07,1725.45
1989-05-14,1725.45
1989-05-21,1725.325
1989-05-28,1720.03
1989-06-04,1720.03
1989-06-11,1719.42
1989-06-18,1716.545
1989-06-25,1705.5600000000002
1989-07-02,1701.8200000000002
1989-07-09,1701.1716666666666
1989-07-16,1698.4366666666665
1989-07-23,1697.8674999999998
1989-07-30,1697.8674999999998
1989-08-06,1697.8674999999998
1989-08-13,1707.6825
1989-08-20,1716.325
1989-08-27,1716.67
1989-09-03,1719.245
1989-09-10,1719.245
1989-09-17,1719.5124999999998
1989-09-24,1721.51875
1989-10-01,1719.5124999999998
1989-10-08,1721.51875
1989-10-15,1722.195
1989-10-22,1722.195
1989-10-29,1723.9904166666665
1989-11-05,1723.9904166666665
1989-11-12,1725.8254166666666
1989-11-19,1727.3474999999999
1989-11-26,1728.13875
1989-12-03,1728.13875
1989-12-10,1726.2454166666666
1989-12-17,1728.13875
1989-12-24,1727.7675
1989-12-31,1725.41125
1990-01-07,1722.22125
1990-01-14,1722.22125
1990-01-21,1725.0175000000002
1990-01-28,1731.2162500000002
1990-02-04,1724.1837500000001
1990-02-11,1726.9800000000002
1990-02-18,1723.9187500000003
1990-02-25,1731.2162500000002
1990-03-04,1735.4525
1990-03-11,1735.4525
1990-03-18,1737.025
1990-03-25,1737.025
1990-04-01,1729.88
1990-04-08,1734.73
1990-04-15,1734.73
1990-04-22,1732.435
1990-04-29,1732.435
1990-05-06,1732.435
1990-05-13,1732.435
1990-05-20,1732.435
1990-05-27,1721.585
1990-06-03,1717.61
1990-06-10,1721.585
1990-06-17,1713.72
1990-06-24,1713.415
1990-07-01,1710.7325
1990-07-08,1710.7325
1990-07-15,1706.1374999999998
1990-07-22,1706.1374999999998
1990-07-29,1700.6475
1990-08-05,1700.6475
1990-08-12,1710.55
1990-08-19,1716.875
1990-08-26,1716.875
1990-09-02,1716.875
1990-09-09,1716.875
1990-09-16,1733.585
1990-09-23,1739.89
1990-09-30,1739.89
1990-10-07,1738.2
1990-10-14,1738.2
1990-10-21,1739.89
1990-10-28,1739.89
1990-11-04,1743.2275
1990-11-11,1733.67625
1990-11-18,1742.5149999999999
1990-11-25,1747.5425
1990-12-02,1748.255
1990-12-09,1749.89
1990-12-16,1746.83
1990-12-23,1737.99125
1990-12-30,1737.5825
1991-01-06,1727.3899999999999
1991-01-13,1726.9375
1991-01-20,1726.445
1991-01-27,1726.445
1991-02-03,1727.43
1991-02-10,1727.43
1991-02-17,1727.43
1991-02-24,1739.58
1991-03-03,1739.58
1991-03-10,1748.25
1991-03-17,1745.325
1991-03-24,1745.325
1991-03-31,1758.555
1991-04-07,1745.325
1991-04-14,1745.325
1991-04-21,1745.325
1991-04-28,1745.325
1991-05-05,1752.04
1991-05-12,1752.585
1991-05-19,1752.04
1991-05-26,1752.04
1991-06-02,1744.185
1991-06-09,1750.515
1991-06-16,1736.065
1991-06-23,1732.59
1991-06-30,1732.59
1991-07-07,1729.005
1991-07-14,1731.2800000000002
1991-07-21,1733.6725000000001
1991-07-28,1729.89
1991-08-04,1727.0125
1991-08-11,1725.3275
1991-08-18,1720.6125000000002
1991-08-25,1720.6125000000002
1991-09-01,1720.6125000000002
1991-09-08,1725.13
1991-09-15,1736.88
1991-09-22,1741.71
1991-09-29,1745.78
1991-10-06,1747.655
1991-10-13,1749.47
1991-10-20,1749.47
1991-10-27,1755.915
1991-11-03,1749.47
1991-11-10,1749.47
1991-11-17,1758.02
1991-11-24,1758.02
1991-12-01,1747.455
1991-12-08,1747.455
1991-12-15,1747.455
1991-12-22,1747.455
1991-12-29,1757.735
1992-01-05,1757.735
1992-01-12,1757.735
1992-01-19,1757.735
1992-01-26,1757.735
1992-02-02,1752.945
1992-02-09,1752.945
1992-02-16,1752.945
1992-02-23,1752.945
1992-03-01,1754.8166666666666
1992-03-08,1754.8166666666666
1992-03-15,1748.1116666666667
1992-03-22,1750.2166666666667
1992-03-29,1756.2275
1992-04-05,1751.9
1992-04-12,1751.9
1992-04-19,1752.0300000000002
1992-04-26,1752.0300000000002
1992-05-03,1752.0300000000002
1992-05-10,1751.77
1992-05-17,1746.34
1992-05-24,1746.34
1992-05-31,1746.34
1992-06-07,1744.785
1992-06-14,1744.785
1992-06-21,1746.34
1992-06-28,1744.785
1992-07-05,1739.345
1992-07-12,1739.345
1992-07-19,1734.625
1992-07-26,1729.52
1992-08-02,1727.735
1992-08-09,1724.7024999999999
1992-08-16,1723.73
1992-08-23,1723.73
1992-08-30,1723.73
1992-09-06,1725.55
1992-09-13,1726.7624999999998
1992-09-20,1730.8274999999999
1992-09-27,1725.79
1992-10-04,1735.865
1992-10-11,1736.0500000000002
1992-10-18,1735.865
1992-10-25,1736.0500000000002
1992-11-01,1742.395
1992-11-08,1746.6999999999998
1992-11-15,1751.4250000000002
1992-11-22,1756.52
1992-11-29,1751.4250000000002
1992-12-06,1753.9725
1992-12-13,1751.2250000000001
1992-12-20,1751.2250000000001
1992-12-27,1751.2250000000001
1993-01-03,1750.9225000000001
1993-01-10,1746.5475000000001
1993-01-17,1742.2525
1993-01-24,1742.275
1993-01-31,1742.23
1993-02-07,1740.84
1993-02-14,1740.84
1993-02-21,1742.23
1993-02-28,1743.81
1993-03-07,1743.81
1993-03-14,1740.44
1993-03-21,1740.44
1993-03-28,1750.5500000000002
1993-04-04,1750.5500000000002
1993-04-11,1749.585
1993-04-18,1748.395
1993-04-25,1749.585
1993-05-02,1750.5500000000002
1993-05-09,1753.53
1993-05-16,1753.53
1993-05-23,1749.585
1993-05-30,1748.395
1993-06-06,1747.165
1993-06-13,1747.165
1993-06-20,1745.86
1993-06-27,1742.2399999999998
1993-07-04,1742.2399999999998
1993-07-11,1731.14
1993-07-18,1727.315
1993-07-25,1726.995
1993-08-01,1726.995
1993-08-08,1727.315
1993-08-15,1727.99
1993-08-22,1731.14
1993-08-29,1732.9225000000001
1993-09-05,1733.5225
1993-09-12,1737.855
1993-09-19,1751.755
1993-09-26,1756.485
1993-10-03,1760.265
1993-10-10,1762.0749999999998
1993-10-17,1758.2624999999998
1993-10-24,1768.77
1993-10-31,1775.465
1993-11-07,1775.465
1993-11-14,1767.5500000000002
1993-11-21,1767.5500000000002
1993-11-28,1762.5300000000002
1993-12-05,1767.5500000000002
1993-12-12,1762.5300000000002
1993-12-19,1759.205
1993-12-26,1759.045
1994-01-02,1759.045
1994-01-09,1759.045
1994-01-16,1759.045
1994-01-23,1756.735
1994-01-30,1754.8000000000002
1994-02-06,1754.8000000000002
1994-02-13,1754.8000000000002
1994-02-20,1754.65
1994-02-27,1754.65
1994-03-06,1754.8000000000002
1994-03-13,1754.09
1994-03-20,1763.255
1994-03-27,1754.09
1994-04-03,1763.255
1994-04-10,1763.255
1994-04-17,1759.585
1994-04-24,1754.45
1994-05-01,1754.45
1994-05-08,1753.635
1994-05-15,1753.635
1994-05-22,1753.1
1994-05-29,1752.22
1994-06-05,1752.16
1994-06-12,1750.12
1994-06-19,1749.11
1994-06-26,1743.1325
1994-07-03,1740.41
1994-07-10,1738.43
1994-07-17,1738.13
1994-07-24,1733.76
1994-07-31,1733.76
1994-08-07,1733.76
1994-08-14,1733.76
1994-08-21,1734.92
1994-08-28,1735.73
1994-09-04,1741.9250000000002
1994-09-11,1753.0500000000002
1994-09-18,1755.55
1994-09-25,1766.73
1994-10-02,1767.655
1994-10-09,1769.91
1994-10-16,1769.91
1994-10-23,1769.91
1994-10-30,1769.91
1994-11-06,1786.2600000000002
1994-11-13,1786.2600000000002
1994-11-20,1786.2600000000002
1994-11-27,1780.69
1994-12-04,1783.4750000000001
1994-12-11,1778.6775
1994-12-18,1783.74
1994-12-25,1778.6775
1995-01-01,1778.6775
1995-01-08,1769.095
1995-01-15,1756.0525
1995-01-22,1761.525
1995-01-29,1750.58
1995-02-05,1750.58
1995-02-12,1750.58
1995-02-19,1764.06
1995-02-26,1764.06
1995-03-05,1764.06
1995-03-12,1764.06
1995-03-19,1766.64
1995-03-26,1764.11
1995-04-02,1764.06
1995-04-09,1764.11
1995-04-16,1764.11
1995-04-23,1764.11
1995-04-30,1759.975
1995-05-07,1759.975
1995-05-14,1759.975
1995-05-21,1762.185
1995-05-28,1759.975
1995-06-04,1762.185
1995-06-11,1762.185
1995-06-18,1762.185
1995-06-25,1748.84
1995-07-02,1748.84
1995-07-09,1748.255
1995-07-16,1746.79
1995-07-23,1746.79
1995-07-30,1746.79
1995-08-06,1753.565
1995-08-13,1755.2199999999998
1995-08-20,1755.2199999999998
1995-08-27,1755.2199999999998
1995-09-03,1755.2199999999998
1995-09-10,1759.915
1995-09-17,1759.915
1995-09-24,1772.215
1995-10-01,1772.34
1995-10-08,1772.34
1995-10-15,1772.34
1995-10-22,1776.185
1995-10-29,1776.185
1995-11-05,1776.185
1995-11-12,1769.4250000000002
1995-11-19,1765.8000000000002
1995-11-26,1769.4250000000002
1995-12-03,1769.8000000000002
1995-12-10,1769.4250000000002
1995-12-17,1769.8000000000002
1995-12-24,1769.8000000000002
1995-12-31,1767.9875000000002
